plotid,center_lon,center_lat,shape,size_m,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Class:Water bodies,Class:Artificial surfaces,Class:Cultivated land,Class:Treeds areas,Class:Prairies,Class:Wetlands,Class:Other land
17,-1.9655023649493588,13.566140780353393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:29,8.6 secs,,0,0,0,0,0,100.00,0,0
18,-2.6661882865625857,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:29,-5.7 secs,,0,0,0,100.00,0,0,0,0
19,-3.6004361820468875,12.884042357730653,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:30,5.2 secs,,0,0,0,100.00,0,0,0,0
20,0.4868983606969345,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:30,3.1 secs,,0,0,0,100.00,0,0,0,0
21,-1.6151594041427457,11.514350756577553,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:31,-9.2 secs,,0,0,0,100.00,0,0,0,0
22,-3.7172171689824256,10.137956586921574,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:31,-9.6 secs,,0,0,0,100.00,0,0,0,0
23,0.01977441295478339,14.472550525451778,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:33,87.4 secs,,0,0,0,0,0,100.00,0,0
24,-2.6661882865625857,13.452590940009902,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:33,-14.5 secs,,0,0,0,0,0,100.00,0,0
25,0.13655539989032117,14.698585245447546,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:33,4.8 secs,,0,0,0,0,0,100.00,0,0
26,-3.250093221240274,12.428269681925315,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:34,-8.1 secs,,0,0,0,100.00,0,0,0,0
27,-1.9655023649493588,11.971696602722607,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:34,-15.8 secs,,0,0,0,100.00,0,0,0,0
28,-1.1480354564005943,11.056260023485923,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:34,-13.4 secs,,0,0,0,100.00,0,0,0,0
29,-3.3668742081758123,10.597452519142484,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:34,-8.5 secs,,0,0,0,100.00,0,0,0,0
30,-4.067560129789039,11.170851006286313,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:35,-12.1 secs,,0,0,0,100.00,0,0,0,0
31,-0.9144734825295189,12.542288962782777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:35,16.0 secs,,0,0,0,0,0,100.00,0,0
32,-3.48365519511135,12.428269681925315,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:36,4.6 secs,,0,0,0,100.00,0,0,0,0
33,-3.950779142853501,11.857431503127257,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:36,3.3 secs,,0,0,0,0,0,0,100.00,0
34,-3.250093221240274,9.907959377905094,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:37,-12.4 secs,,0,0,0,100.00,0,0,0,0
35,-2.3158453257559724,11.971696602722607,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:38,34.2 secs,,0,0,0,100.00,0,0,0,0
36,1.0708032953746236,12.997857248814531,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:38,-12.8 secs,,0,0,0,0,0,100.00,0,0
37,-3.8339981559179637,10.826944101500853,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:38,0.9 secs,,0,0,0,0,100.00,0,0,0
38,-1.6151594041427457,13.679636345678114,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:39,22.5 secs,,0,0,0,0,0,0,0,100.00
39,-3.6004361820468875,13.111619976448992,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:39,-13.4 secs,,0,0,0,0,0,100.00,0,0
40,-2.899750260433661,13.566140780353393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:41,87.8 secs,,0,0,0,0,0,100.00,0,0
41,-4.651465064466728,10.367788826384931,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:42,-9.4 secs,,0,0,0,0,100.00,0,0,0
42,-2.1990643388204347,12.770175728592825,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:47,297.7 secs,,0,100.00,0,0,0,0,0,0
43,-0.5641305217229056,11.28539674910021,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:48,7.8 secs,,0,0,0,100.00,0,0,0,0
44,-2.6661882865625857,12.997857248814531,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:49,54.5 secs,,0,0,0,0,0,0,100.00,0
45,0.25333638682585896,14.019793205015777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:50,-4.2 secs,,0,0,0,100.00,0,0,0,0
46,-4.53468407753119,10.022978379516838,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:50,-18.0 secs,,0,0,0,0,100.00,0,0,0
47,-3.950779142853501,12.542288962782777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:50,-17.5 secs,,0,0,0,100.00,0,0,0,0
48,-3.6004361820468875,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:50,-15.3 secs,,0,0,0,0,100.00,0,0,0
49,-0.6809115086584433,12.08591340319478,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:50,-7.5 secs,,0,0,0,100.00,0,0,0,0
50,-1.7319403910782833,11.514350756577553,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:51,10.3 secs,,0,0,0,100.00,0,0,0,0
51,-1.7319403910782833,14.472550525451778,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:51,-5.2 secs,,0,0,0,0,0,100.00,0,0
52,-2.6661882865625857,13.566140780353393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:51,-15.4 secs,,0,0,0,100.00,0,0,0,0
53,2.238613164730001,12.08591340319478,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:52,-9.6 secs,,0,0,0,0,100.00,0,0,0
54,-3.1333122343047366,11.857431503127257,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:52,-19.0 secs,,0,0,0,100.00,0,0,0,0
55,-0.33056854785183,14.811515182629131,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:52,-17.1 secs,,0,100.00,0,0,0,0,0,0
56,0.9540223084390856,11.628758144416393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:52,-17.6 secs,,0,0,0,0,100.00,0,0,0
57,-2.7829692734981233,11.399896812153566,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:52,-16.7 secs,,0,0,0,100.00,0,0,0,0
58,-2.7829692734981233,11.28539674910021,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:52,-14.3 secs,,0,0,0,100.00,0,0,0,0
59,-5.2353699991444165,11.056260023485923,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:52,-16.6 secs,,0,0,0,100.00,0,0,0,0
60,0.01977441295478339,12.770175728592825,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:53,0.9 secs,,0,0,0,0,0,100.00,0,0
61,1.5379272431167745,11.971696602722607,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:53,-18.1 secs,,0,0,0,100.00,0,0,0,0
62,-3.250093221240274,11.399896812153566,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:53,-2.8 secs,,0,0,0,0,50.00,50.00,0,0
63,1.304365269245699,12.656257787807082,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:53,-9.9 secs,,0,0,0,0,100.00,0,0,0
64,-0.6809115086584433,14.585596889921053,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:54,-9.3 secs,,0,0,0,100.00,0,0,0,0
65,-0.4473495347873677,14.924386293183355,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:54,6.9 secs,,0,0,0,0,0,0,100.00,0
66,-2.4326263126915104,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-6.2 secs,,0,0,0,0,0,100.00,0,0
67,-4.768246051402265,11.971696602722607,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-18.3 secs,,0,0,0,0,100.00,0,0,0
68,-1.0312544694650567,12.542288962782777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-18.8 secs,,0,0,100.00,0,0,0,0,0
69,-0.797692495593981,11.399896812153566,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-20.5 secs,,0,0,0,100.00,0,0,0,0
70,-1.7319403910782833,14.246285412853073,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-19.9 secs,,0,0,0,100.00,0,0,0,0
71,0.3701173737613967,11.628758144416393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-12.7 secs,,0,0,0,0,0,100.00,0,0
72,-0.6809115086584433,12.428269681925315,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-19.5 secs,,0,0,0,100.00,0,0,0,0
73,-1.8487213780138212,13.566140780353393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:55,-14.1 secs,,0,0,0,0,100.00,0,0,0
74,-2.6661882865625857,12.08591340319478,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:56,-7.8 secs,,0,0,0,100.00,0,0,0,0
75,0.7204603345680101,12.770175728592825,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:56,-15.2 secs,,0,0,0,0,100.00,0,0,0
76,-5.001808025273341,10.826944101500853,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:56,-13.2 secs,,0,0,0,0,100.00,0,0,0
77,-1.0312544694650567,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:56,-20.5 secs,,0,0,0,100.00,0,0,0,0
78,-1.4983784172072079,11.056260023485923,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:57,-16.7 secs,,0,0,0,0,100.00,0,0,0
79,1.1875842823101612,12.542288962782777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:57,6.6 secs,,0,0,0,0,100.00,0,0,0
80,0.6036793476324723,12.20008147126884,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:57,-10.1 secs,,0,0,0,0,100.00,0,0,0
81,-2.3158453257559724,11.170851006286313,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:57,-17.7 secs,,0,0,0,100.00,0,0,0,0
82,-0.0970065739807544,13.338987244883564,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:58,-9.9 secs,,0,0,0,0,0,100.00,0,0
83,-1.6151594041427457,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:58,-20.1 secs,,0,0,0,0,100.00,0,0,0
84,-3.016531247369199,11.056260023485923,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:58,-15.6 secs,,0,0,0,100.00,0,0,0,0
85,-3.7172171689824256,10.252893551731825,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:58,-6.0 secs,,0,0,0,100.00,0,0,0,0
86,0.13655539989032117,12.997857248814531,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:58,-13.0 secs,,0,100.00,0,0,0,0,0,0
87,-1.2648164433361322,12.884042357730653,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:59,-9.9 secs,,0,0,0,0,0,0,100.00,0
88,-1.9655023649493588,13.79307721680108,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:59,-1.5 secs,,0,100.00,0,0,0,0,0,0
89,-1.8487213780138212,12.770175728592825,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:59,-20.6 secs,,0,0,0,100.00,0,0,0,0
90,-2.6661882865625857,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:59,-7.2 secs,,0,0,0,0,0,0,100.00,0
91,-0.33056854785183,13.22533011625629,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:00,-3.4 secs,,0,100.00,0,0,0,0,0,0
92,-1.6151594041427457,13.22533011625629,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:00,-6.3 secs,,0,0,0,100.00,0,0,0,0
93,-1.38159743027167,14.246285412853073,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:01,5.6 secs,,0,0,0,0,0,0,100.00,0
94,-3.950779142853501,12.428269681925315,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:01,-15.1 secs,,0,0,0,0,0,100.00,0,0
95,0.01977441295478339,11.170851006286313,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:01,-17.8 secs,,0,0,0,100.00,0,0,0,0
96,0.25333638682585896,11.28539674910021,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:01,-11.9 secs,,0,0,0,100.00,0,0,0,0
97,-3.48365519511135,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:01,-11.0 secs,,0,0,0,0,100.00,0,0,0
98,1.1875842823101612,11.857431503127257,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:02,-13.5 secs,,0,0,0,0,0,100.00,0,0
99,0.9540223084390856,11.971696602722607,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:02,-16.9 secs,,0,0,0,0,100.00,0,0,0
100,-2.899750260433661,13.338987244883564,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:02,12.8 secs,,0,0,0,0,0,0,100.00,0
101,-0.21378756091629217,14.924386293183355,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:03,-18.4 secs,,0,0,0,0,100.00,0,0,0
102,0.01977441295478339,11.399896812153566,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:03,-16.3 secs,,0,0,0,100.00,0,0,0,0
103,-3.6004361820468875,12.656257787807082,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:03,-2.6 secs,,0,0,0,100.00,0,0,0,0
104,-1.1480354564005943,14.246285412853073,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:03,-8.7 secs,,0,0,0,0,0,0,100.00,0
105,-0.21378756091629217,14.019793205015777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:04,-4.9 secs,,0,100.00,0,0,0,0,0,0
106,-0.21378756091629217,13.338987244883564,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:04,-1.4 secs,,0,0,0,100.00,0,0,0,0
107,1.1875842823101612,11.28539674910021,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:05,12.1 secs,,0,0,0,0,0,100.00,0,0
108,-3.48365519511135,11.399896812153566,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:05,-17.7 secs,,0,0,0,100.00,0,0,0,0
109,-4.885027038337803,10.137956586921574,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:05,-4.5 secs,,0,0,0,0,100.00,0,0,0
110,-3.950779142853501,11.170851006286313,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 15:06,19.7 secs,,0,0,0,100.00,0,0,0,0
111,-0.797692495593981,14.246285412853073,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:07,58.2 secs,,0,100.00,0,0,0,0,0,0
112,-0.9144734825295189,13.906462975599126,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:07,-15.4 secs,,0,100.00,0,0,0,0,0,0
113,-2.899750260433661,10.941624241370468,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:09,46.4 secs,,0,0,0,100.00,0,0,0,0
114,-1.9655023649493588,13.22533011625629,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:09,0.0 secs,,0,100.00,0,0,0,0,0,0
115,-4.301122103660115,12.542288962782777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:10,-14.3 secs,,0,0,0,0,0,25.00,75.00,0
116,-0.9144734825295189,14.133067489068015,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:10,-17.3 secs,,0,0,0,0,100.00,0,0,0
117,-4.651465064466728,11.857431503127257,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:10,-16.9 secs,,0,0,0,0,0,100.00,0,0
118,1.6547082300523124,11.399896812153566,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:10,-14.0 secs,,0,0,0,0,100.00,0,0,0
119,-0.5641305217229056,14.019793205015777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:12,85.7 secs,,0,0,0,0,0,0,100.00,0
120,-2.3158453257559724,12.770175728592825,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:13,-4.0 secs,,0,0,0,100.00,0,0,0,0
121,-4.067560129789039,12.428269681925315,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:13,-20.2 secs,,0,0,0,100.00,0,0,0,0
122,-4.067560129789039,11.628758144416393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:13,-9.2 secs,,0,0,0,100.00,0,0,0,0
123,-2.899750260433661,9.562662103900985,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:13,-1.5 secs,,0,0,0,100.00,0,0,0,0
124,-1.6151594041427457,12.20008147126884,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:13,-16.6 secs,,0,0,0,0,0,100.00,0,0
125,-4.651465064466728,10.022978379516838,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:14,3.0 secs,,0,0,0,100.00,0,0,0,0
126,-5.2353699991444165,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:15,-21.4 secs,,0,0,0,0,0,100.00,0,0
127,-0.6809115086584433,14.133067489068015,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:16,4.5 secs,,0,0,0,0,0,100.00,0,0
128,-2.549407299627048,14.019793205015777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:16,-5.5 secs,,0,0,0,0,0,100.00,0,0
129,-4.301122103660115,11.628758144416393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:17,-6.5 secs,,0,0,0,100.00,0,0,0,0
130,-1.38159743027167,13.22533011625629,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:18,4.5 secs,,0,0,0,0,100.00,0,0,0
131,-4.768246051402265,10.137956586921574,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:18,-9.6 secs,,0,0,0,0,100.00,0,0,0
132,-4.301122103660115,12.656257787807082,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:20,-1.3 secs,,0,0,0,0,0,100.00,0,0
133,-1.4983784172072079,11.971696602722607,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:20,2.1 secs,,0,0,0,0,0,100.00,0,0
134,-2.7829692734981233,13.566140780353393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:22,7.8 secs,,0,0,0,0,0,100.00,0,0
135,0.8372413215035479,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:22,-10.3 secs,,0,0,0,0,0,0,0,100.00
136,-0.797692495593981,11.857431503127257,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:23,-12.3 secs,,0,0,0,100.00,0,0,0,0
137,-0.4473495347873677,13.338987244883564,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:23,15.6 secs,,0,0,0,0,0,100.00,0,0
138,-3.016531247369199,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:24,-22.4 secs,,0,0,0,100.00,0,0,0,0
139,-5.001808025273341,11.628758144416393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:24,-18.4 secs,,0,0,0,100.00,0,0,0,0
140,0.4868983606969345,12.997857248814531,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:25,32.2 secs,,0,0,0,100.00,0,0,0,0
141,-1.6151594041427457,14.133067489068015,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:25,-18.0 secs,,0,0,0,100.00,0,0,0,0
142,1.6547082300523124,11.628758144416393,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:25,-20.0 secs,,0,0,0,100.00,0,0,0,0
143,-0.5641305217229056,13.79307721680108,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:25,0.6 secs,,0,0,50.00,50.00,0,0,0,0
144,0.25333638682585896,13.679636345678114,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:26,45.5 secs,,0,0,0,100.00,0,0,0,0
145,-0.797692495593981,14.019793205015777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:27,8.0 secs,,0,0,0,0,0,100.00,0,0
146,-0.9144734825295189,11.056260023485923,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:27,-3.8 secs,,0,0,0,100.00,0,0,0,0
147,-1.0312544694650567,13.79307721680108,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:28,24.5 secs,,0,0,0,100.00,0,0,0,0
148,-1.0312544694650567,13.338987244883564,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:30,56.4 secs,,0,0,0,100.00,0,0,0,0
149,-0.797692495593981,14.359446562555084,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:30,5.4 secs,,0,100.00,0,0,0,0,0,0
150,0.4868983606969345,11.971696602722607,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:31,-2.4 secs,,0,0,0,100.00,0,0,0,0
151,-3.48365519511135,10.826944101500853,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:31,-15.5 secs,,0,0,0,100.00,0,0,0,0
152,-2.1990643388204347,11.170851006286313,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:31,-15.9 secs,,0,0,0,100.00,0,0,0,0
153,-2.4326263126915104,11.28539674910021,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:31,-15.8 secs,,0,0,0,100.00,0,0,0,0
154,-2.4326263126915104,11.514350756577553,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:31,-7.6 secs,,0,0,0,100.00,0,0,0,0
155,0.7204603345680101,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:32,14.7 secs,,0,0,0,0,0,0,100.00,0
156,-3.3668742081758123,10.941624241370468,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:34,-22.0 secs,,0,0,0,0,100.00,0,0,0
157,-3.250093221240274,13.452590940009902,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-25 09:35,7.6 secs,,0,0,0,0,100.00,0,0,0
