plotid,center_lon,center_lat,shape,size_m,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Class:Water bodies,Class:Prairies,Class:Cultivated land,Class:Wetlands,Class:Artificial surfaces,Class:Other land,Class:Treeds areas
23,7.8124393470687,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.4 secs,,0,0,0,0,0,0,100.00,0
24,7.8124393470687,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.0 secs,,0,0,0,0,0,0,100.00,0
25,7.8124393470687,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.1 secs,,0,0,0,0,0,0,100.00,0
26,7.8124393470687,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,6.5 secs,,0,100.00,0,0,0,0,0,0
27,7.8124393470687,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.8 secs,,0,100.00,0,0,0,0,0,0
28,7.8124393470687,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,7.0 secs,,0,0,0,0,0,0,100.00,0
29,7.8124393470687,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,7.0 secs,,0,0,0,0,0,0,100.00,0
30,7.8124393470687,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,6.0 secs,,0,100.00,0,0,0,0,0,0
31,7.8124393470687,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,11.8 secs,,0,100.00,0,0,0,0,0,0
32,7.8124393470687,34.20032374366799,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,6.5 secs,,0,0,0,0,0,0,100.00,0
33,7.902270875480652,33.22894704539429,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.7 secs,,0,0,0,0,0,0,100.00,0
34,7.902270875480652,33.304057709657116,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.7 secs,,0,0,0,0,0,0,100.00,0
35,7.902270875480652,33.37910374039196,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.2 secs,,0,0,0,0,0,0,100.00,0
36,7.902270875480652,33.45408506458033,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,5.6 secs,,0,0,0,0,0,0,100.00,0
37,7.902270875480652,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,5.4 secs,,0,0,0,0,0,0,100.00,0
38,7.902270875480652,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,5.6 secs,,0,0,0,0,0,0,100.00,0
39,7.902270875480652,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,5.3 secs,,0,0,0,0,0,0,100.00,0
40,7.902270875480652,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,6.0 secs,,0,100.00,0,0,0,0,0,0
41,7.902270875480652,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,9.7 secs,,0,100.00,0,0,0,0,0,0
42,7.902270875480652,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,7.0 secs,,0,0,0,0,0,0,100.00,0
43,7.902270875480652,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,5.2 secs,,0,0,0,0,0,0,100.00,0
44,7.902270875480652,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,13.4 secs,,0,100.00,0,0,0,0,0,0
45,7.902270875480652,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:53,5.8 secs,,0,100.00,0,0,0,0,0,0
46,7.902270875480652,34.20032374366799,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,11.8 secs,,0,0,0,0,0,0,100.00,0
47,7.902270875480652,34.27458862103551,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,5.8 secs,,0,0,0,0,0,0,100.00,0
48,7.902270875480652,34.34878795496409,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,15.6 secs,,0,0,100.00,0,0,0,0,0
49,7.992102403892604,33.15377182112898,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,6.7 secs,,0,0,0,0,0,0,100.00,0
50,7.992102403892604,33.22894704539429,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,5.4 secs,,0,0,0,0,0,0,100.00,0
51,7.992102403892604,33.304057709657116,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,9.8 secs,,0,0,0,0,0,0,100.00,0
52,7.992102403892604,33.37910374039196,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,5.8 secs,,0,0,0,0,0,0,100.00,0
53,7.992102403892604,33.45408506458033,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,5.6 secs,,0,0,0,0,0,0,100.00,0
54,7.992102403892604,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,5.3 secs,,0,0,0,0,0,0,100.00,0
55,7.992102403892604,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,5.6 secs,,0,0,0,0,0,0,100.00,0
56,7.992102403892604,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:54,12.6 secs,,0,100.00,0,0,0,0,0,0
57,7.992102403892604,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:55,6.2 secs,,0,100.00,0,0,0,0,0,0
58,7.992102403892604,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:55,16.0 secs,,0,100.00,0,0,0,0,0,0
59,7.992102403892604,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:55,14.7 secs,,0,0,0,0,0,0,100.00,0
60,7.992102403892604,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:55,13.9 secs,,0,0,0,0,0,0,100.00,0
61,7.992102403892604,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:55,6.8 secs,,0,100.00,0,0,0,0,0,0
62,7.992102403892604,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:55,6.0 secs,,0,100.00,0,0,0,0,0,0
63,7.992102403892604,34.20032374366799,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:55,6.2 secs,,0,0,0,0,0,0,100.00,0
64,7.992102403892604,34.27458862103551,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,22.2 secs,,0,0,0,0,100.00,0,0,0
65,7.992102403892604,34.34878795496409,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,23.2 secs,,0,0,0,0,0,0,100.00,0
66,7.992102403892604,34.42292167897133,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,13.9 secs,,0,0,0,0,0,0,100.00,0
67,8.081933932304556,33.15377182112898,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,7.0 secs,,0,0,0,0,0,0,100.00,0
68,8.081933932304556,33.22894704539429,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,5.1 secs,,0,0,0,0,0,0,100.00,0
69,8.081933932304556,33.304057709657116,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,5.0 secs,,0,0,0,0,0,0,100.00,0
70,8.081933932304556,33.37910374039196,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,5.2 secs,,0,0,0,0,0,0,100.00,0
71,8.081933932304556,33.45408506458033,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,5.2 secs,,0,0,0,0,0,0,100.00,0
72,8.081933932304556,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:56,5.2 secs,,0,0,0,0,0,0,100.00,0
73,8.081933932304556,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,6.0 secs,,0,100.00,0,0,0,0,0,0
74,8.081933932304556,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,9.3 secs,,0,100.00,0,0,0,0,0,0
75,8.081933932304556,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,9.8 secs,,0,100.00,0,0,0,0,0,0
76,8.081933932304556,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,11.9 secs,,0,100.00,0,0,0,0,0,0
77,8.081933932304556,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,7.1 secs,,0,0,0,0,0,0,100.00,0
78,8.081933932304556,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,6.2 secs,,0,0,0,0,0,0,100.00,0
79,8.081933932304556,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,6.0 secs,,0,0,0,0,0,0,100.00,0
80,8.081933932304556,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,13.2 secs,,0,100.00,0,0,0,0,0,0
81,8.081933932304556,34.20032374366799,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:57,10.4 secs,,0,0,0,0,0,0,100.00,0
82,8.081933932304556,34.27458862103551,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,6.9 secs,,0,0,0,100.00,0,0,0,0
83,8.081933932304556,34.34878795496409,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,10.6 secs,,0,0,0,0,0,0,100.00,0
84,8.081933932304556,34.42292167897133,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,7.6 secs,,0,0,0,100.00,0,0,0,0
85,8.081933932304556,34.496989727073235,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,10.1 secs,,0,0,0,0,0,0,100.00,0
86,8.171765460716507,33.00322798923127,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,6.4 secs,,0,0,0,0,0,0,100.00,0
87,8.171765460716507,33.07853211089425,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.4 secs,,0,0,0,0,0,0,100.00,0
88,8.171765460716507,33.15377182112898,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.4 secs,,0,0,0,0,0,0,100.00,0
89,8.171765460716507,33.22894704539429,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.2 secs,,0,0,0,0,0,0,100.00,0
90,8.171765460716507,33.304057709657116,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.3 secs,,0,0,0,0,0,0,100.00,0
91,8.171765460716507,33.37910374039196,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.2 secs,,0,0,0,0,0,0,100.00,0
92,8.171765460716507,33.45408506458033,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.2 secs,,0,0,0,0,0,0,100.00,0
93,8.171765460716507,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.9 secs,,0,0,0,0,0,0,100.00,0
94,8.171765460716507,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,10.9 secs,,0,100.00,0,0,0,0,0,0
95,8.171765460716507,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,10.0 secs,,0,100.00,0,0,0,0,0,0
96,8.171765460716507,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:58,5.2 secs,,0,100.00,0,0,0,0,0,0
97,8.171765460716507,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:59,5.7 secs,,0,100.00,0,0,0,0,0,0
98,8.171765460716507,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:59,11.7 secs,,0,0,0,100.00,0,0,0,0
99,8.171765460716507,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:59,14.6 secs,,0,0,0,100.00,0,0,0,0
100,8.171765460716507,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:59,11.3 secs,,0,0,0,0,100.00,0,0,0
101,8.171765460716507,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:59,7.0 secs,,0,0,0,0,0,0,100.00,0
102,8.171765460716507,34.20032374366799,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:59,5.7 secs,,0,0,0,0,0,0,100.00,0
103,8.171765460716507,34.27458862103551,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:59,6.8 secs,,0,0,0,0,0,0,100.00,0
104,8.171765460716507,34.34878795496409,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,21.5 secs,,0,0,0,0,0,0,100.00,0
105,8.171765460716507,34.42292167897133,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,7.0 secs,,0,0,0,100.00,0,0,0,0
106,8.171765460716507,34.496989727073235,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,15.6 secs,,0,0,0,0,0,0,100.00,0
107,8.171765460716507,36.471773967056315,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,18.3 secs,,0,0,0,0,0,0,0,100.00
108,8.261596989128462,32.92785953118991,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,8.8 secs,,0,0,0,0,0,0,100.00,0
109,8.261596989128462,33.00322798923127,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,5.8 secs,,0,0,0,0,0,0,100.00,0
110,8.261596989128462,33.07853211089425,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,5.9 secs,,0,0,0,0,0,0,100.00,0
111,8.261596989128462,33.15377182112898,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,5.5 secs,,0,0,0,0,0,0,100.00,0
112,8.261596989128462,33.22894704539429,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,5.5 secs,,0,0,0,0,0,0,100.00,0
113,8.261596989128462,33.304057709657116,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,5.5 secs,,0,0,0,0,0,0,100.00,0
114,8.261596989128462,33.37910374039196,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:00,10.4 secs,,0,0,0,0,0,0,100.00,0
115,8.261596989128462,33.45408506458033,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:01,5.5 secs,,0,0,0,0,0,0,100.00,0
116,8.261596989128462,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:01,16.2 secs,,0,100.00,0,0,0,0,0,0
117,8.261596989128462,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:01,6.8 secs,,0,100.00,0,0,0,0,0,0
118,8.261596989128462,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:01,6.0 secs,,0,100.00,0,0,0,0,0,0
119,8.261596989128462,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:01,10.2 secs,,0,100.00,0,0,0,0,0,0
120,8.261596989128462,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:01,5.5 secs,,0,100.00,0,0,0,0,0,0
121,8.261596989128462,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:01,5.9 secs,,0,100.00,0,0,0,0,0,0
122,8.261596989128462,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:02,8.4 secs,,0,100.00,0,0,0,0,0,0
123,8.261596989128462,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:02,5.1 secs,,0,0,0,0,0,0,100.00,0
124,8.261596989128462,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:02,10.6 secs,,0,0,0,0,0,0,100.00,0
125,8.261596989128462,34.20032374366799,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,15.6 secs,,0,0,0,0,0,0,100.00,0
126,8.261596989128462,34.27458862103551,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,12.1 secs,,0,0,0,0,100.00,0,0,0
127,8.261596989128462,34.34878795496409,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,11.4 secs,,0,0,0,0,0,0,100.00,0
128,8.261596989128462,34.42292167897133,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,11.6 secs,,0,0,100.00,0,0,0,0,0
129,8.261596989128462,34.496989727073235,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,8.4 secs,,0,0,0,0,0,100.00,0,0
130,8.261596989128462,34.57099203378345,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,13.9 secs,,0,0,0,100.00,0,0,0,0
131,8.261596989128462,36.471773967056315,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,7.0 secs,,0,0,0,100.00,0,0,0,0
132,8.351428517540413,32.62574385407198,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:03,6.6 secs,,0,0,0,0,0,0,100.00,0
133,8.351428517540413,32.70136889693571,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.8 secs,,0,0,0,0,0,0,100.00,0
134,8.351428517540413,32.77692990871812,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.7 secs,,0,0,0,0,0,0,100.00,0
135,8.351428517540413,32.852426812329234,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.6 secs,,0,0,0,0,0,0,100.00,0
136,8.351428517540413,32.92785953118991,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.4 secs,,0,0,0,0,0,0,100.00,0
137,8.351428517540413,33.00322798923127,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.7 secs,,0,0,0,0,0,0,100.00,0
138,8.351428517540413,33.07853211089425,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.4 secs,,0,0,0,0,0,0,100.00,0
139,8.351428517540413,33.15377182112898,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.2 secs,,0,0,0,0,0,0,100.00,0
140,8.351428517540413,33.22894704539429,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.2 secs,,0,0,0,0,0,0,100.00,0
141,8.351428517540413,33.304057709657116,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.2 secs,,0,0,0,0,0,0,100.00,0
142,8.351428517540413,33.37910374039196,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.2 secs,,0,0,0,0,0,0,100.00,0
143,8.351428517540413,33.45408506458033,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.6 secs,,0,100.00,0,0,0,0,0,0
144,8.351428517540413,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,6.0 secs,,0,100.00,0,0,0,0,0,0
145,8.351428517540413,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.5 secs,,0,100.00,0,0,0,0,0,0
146,8.351428517540413,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,5.8 secs,,0,100.00,0,0,0,0,0,0
147,8.351428517540413,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:04,14.0 secs,,0,100.00,0,0,0,0,0,0
148,8.351428517540413,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:05,13.6 secs,,0,100.00,0,0,0,0,0,0
149,8.351428517540413,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:05,5.8 secs,,0,100.00,0,0,0,0,0,0
150,8.351428517540413,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:05,5.6 secs,,0,100.00,0,0,0,0,0,0
151,8.351428517540413,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:05,17.2 secs,,0,0,0,0,0,0,100.00,0
152,8.351428517540413,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:05,6.7 secs,,0,0,0,0,0,0,100.00,0
153,8.351428517540413,34.20032374366799,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:05,15.7 secs,,0,100.00,0,0,0,0,0,0
154,8.351428517540413,34.27458862103551,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:05,22.2 secs,,0,0,0,0,0,0,100.00,0
155,8.351428517540413,34.34878795496409,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:06,15.9 secs,,0,0,0,0,0,0,100.00,0
156,8.351428517540413,34.42292167897133,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:06,8.4 secs,,0,0,100.00,0,0,0,0,0
157,8.351428517540413,34.496989727073235,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:06,11.2 secs,,0,0,0,100.00,0,0,0,0
158,8.351428517540413,34.57099203378345,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:06,6.4 secs,,0,0,0,100.00,0,0,0,0
159,8.351428517540413,34.644928534112616,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:06,10.8 secs,,0,0,0,100.00,0,0,0,0
160,8.351428517540413,34.71879916356771,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:06,6.1 secs,,0,0,0,100.00,0,0,0,0
161,8.351428517540413,34.7926038581513,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 19:06,13.6 secs,,0,0,100.00,0,0,0,0,0
